center,parameter,idx,value,neg_log_like
kalman,kappa,0,0.4412232147780612,
kalman,kappa,0,0.44822675786977645,
kalman,kappa,0,0.4552303009614917,
kalman,kappa,0,0.462233844053207,
kalman,kappa,0,0.46923738714492225,
kalman,kappa,0,0.4762409302366375,
kalman,kappa,0,0.48324447332835274,
kalman,kappa,0,0.490248016420068,-32667.099483566726
kalman,kappa,0,0.4972515595117833,-32664.090737102117
kalman,kappa,0,0.5042551026034985,-32654.982981365567
kalman,kappa,0,0.5112586456952138,-32639.45567748521
kalman,kappa,0,0.5182621887869291,-32617.164197207996
kalman,kappa,0,0.5252657318786443,-32587.72770416884
kalman,kappa,0,0.5322692749703596,-32550.71097063254
kalman,kappa,0,0.5392728180620748,-32505.599545000252
kalman,theta,0,0.1718849719978294,
kalman,theta,0,0.17461330488668383,
kalman,theta,0,0.17734163777553827,
kalman,theta,0,0.1800699706643927,
kalman,theta,0,0.18279830355324714,
kalman,theta,0,0.18552663644210157,
kalman,theta,0,0.18825496933095603,
kalman,theta,0,0.19098330221981047,-32667.099483566726
kalman,theta,0,0.1937116351086649,-32663.400680940576
kalman,theta,0,0.19643996799751934,-32652.415603116613
kalman,theta,0,0.19916830088637377,-32634.123857605937
kalman,theta,0,0.2018966337752282,-32608.500997715284
kalman,theta,0,0.20462496666408264,-32575.51742118955
kalman,theta,0,0.20735329955293708,-32535.136921280548
kalman,theta,0,0.2100816324417915,-32487.314793017144
kalman,lambda_i,0,-0.3001934696993449,-32666.444053241394
kalman,lambda_i,0,-0.271679650435106,-32666.55261929347
kalman,lambda_i,0,-0.24316583117086707,-32666.652227327428
kalman,lambda_i,0,-0.21465201190662814,-32666.74276840373
kalman,lambda_i,0,-0.18613819264238923,-32666.82409102042
kalman,lambda_i,0,-0.1576243733781503,-32666.89598284272
kalman,lambda_i,0,-0.12911055411391137,-32666.958142987172
kalman,lambda_i,0,-0.10059673484967246,-32667.010138818485
kalman,lambda_i,0,-0.07208291558543353,-32667.05133639722
kalman,lambda_i,0,-0.0435690963211946,-32667.08078407408
kalman,lambda_i,0,-0.015055277056955696,-32667.09700817909
kalman,lambda_i,0,0.013458542207283208,-32667.097632476038
kalman,lambda_i,0,0.04197236147152217,-32667.07861328948
kalman,lambda_i,0,0.07048618073576107,
kalman,lambda_i,0,0.099,
kalman,sigma,0,0.3893916852861849,-32663.327503122444
kalman,sigma,0,0.3955725056875529,-32664.25892360609
kalman,sigma,0,0.40175332608892095,-32665.04854790232
kalman,sigma,0,0.4079341464902889,-32665.70336023807
kalman,sigma,0,0.41411496689165694,-32666.22990531826
kalman,sigma,0,0.42029578729302497,-32666.634322309066
kalman,sigma,0,0.426476607694393,-32666.922375728478
kalman,sigma,0,0.432657428095761,-32667.099483566722
kalman,sigma,0,0.438838248497129,
kalman,sigma,0,0.445019068898497,
kalman,sigma,0,0.45119988929986504,
kalman,sigma,0,0.457380709701233,
kalman,sigma,0,0.46356153010260104,
kalman,sigma,0,0.46974235050396906,
kalman,sigma,0,0.4759231709053371,
kalman,sigma_err,0,0.004902667582594011,-32566.664804458876
kalman,sigma_err,0,0.004980487702952646,-32595.217366625173
kalman,sigma_err,0,0.005058307823311281,-32618.450636242083
kalman,sigma_err,0,0.0051361279436699155,-32636.74345255785
kalman,sigma_err,0,0.005213948064028551,-32650.444886367026
kalman,sigma_err,0,0.005291768184387187,-32659.876920843788
kalman,sigma_err,0,0.005369588304745821,-32665.33685819917
kalman,sigma_err,0,0.005447408425104456,-32667.099483566726
kalman,sigma_err,0,0.0055252285454630914,-32665.419013542414
kalman,sigma_err,0,0.005603048665821727,-32660.530853379314
kalman,sigma_err,0,0.005680868786180362,-32652.653183879742
kalman,sigma_err,0,0.005758688906538996,-32641.98839646854
kalman,sigma_err,0,0.005836509026897632,-32628.724392711512
kalman,sigma_err,0,0.005914329147256267,-32613.03576261689
kalman,sigma_err,0,0.005992149267614902,-32595.084854380726
