center,parameter,value,neg_log_like
kalman,gamma1,0.30024027399839165,4450997.3129887255
kalman,gamma1,0.31576202826957367,7010004.430028715
kalman,gamma1,0.33128378254075563,10174009.37961405
kalman,gamma1,0.3468055368119376,14060103.209621798
kalman,gamma1,0.3623272910831196,18698838.69376632
kalman,gamma1,0.3778490453543016,24162085.752285697
kalman,gamma1,0.3933707996254836,30620691.826305885
kalman,gamma1,0.40889255389666557,37864665.13400306
kalman,lambda_i,-0.2260445975671089,
kalman,lambda_i,-0.19779801479292125,
kalman,lambda_i,-0.16955143201873357,-10769.202251321005
kalman,lambda_i,-0.14130484924454592,-10841.105596447034
kalman,lambda_i,-0.11305826647035826,-10889.977913410321
kalman,lambda_i,-0.08481168369617059,-10917.824064580278
kalman,lambda_i,-0.05656510092198294,-10927.80486833799
kalman,lambda_i,-0.028318518147795263,-10926.341490140194
kalman,lambda_i,-7.193537360761226e-05,-10923.510198908456
kalman,lambda_i,0.02817464740058004,-10920.056374448237
kalman,lambda_i,0.05642123017476772,-10762.756623375135
kalman,lambda_i,0.0846678129489554,-4068.521850922833
kalman,lambda_i,0.11291439572314302,
kalman,lambda_i,0.1411609784973307,
kalman,lambda_i,0.1694075612715184,
kalman,sigma,0.05,-5352.431819185965
kalman,sigma,0.09445541315478728,-9656.779425808989
kalman,sigma,0.13891082630957458,-10505.617355481427
kalman,sigma,0.18336623946436187,-10777.820057805893
kalman,sigma,0.22782165261914916,-10881.654688257238
kalman,sigma,0.27227706577393646,-10921.432743019606
kalman,sigma,0.3167324789287237,-10932.884715369859
kalman,sigma,0.361187892083511,-10930.631818948335
kalman,sigma,0.4056433052382983,-10921.410533655411
kalman,sigma,0.4500987183930856,-10908.593485025542
kalman,sigma,0.49455413154787287,-10893.972367634557
kalman,sigma,0.5390095447026602,-10878.53956260392
kalman,sigma,0.5834649578574475,-10862.859870529897
kalman,sigma,0.6279203710122347,
kalman,sigma,0.672375784167022,
kalman,sigma_err,4.064361533651973e-05,-10209.392484727392
kalman,sigma_err,4.6449846098879695e-05,-10534.02855787899
kalman,sigma_err,5.225607686123966e-05,-10725.012527778572
kalman,sigma_err,5.8062307623599615e-05,-10836.205309188375
kalman,sigma_err,6.386853838595959e-05,-10897.580322612972
kalman,sigma_err,6.967476914831954e-05,-10926.779505604398
kalman,sigma_err,7.54809999106795e-05,-10934.66189152747
kalman,sigma_err,8.128723067303946e-05,-10928.158841649863
kalman,sigma_err,8.709346143539943e-05,-10911.828826307465
kalman,sigma_err,9.289969219775939e-05,-10888.7448706899
kalman,sigma_err,9.870592296011935e-05,-10861.021649059398
kalman,sigma_err,0.00010451215372247932,-10830.139385872037
kalman,sigma_err,0.00011031838448483927,-10797.148835370885
kalman,sigma_err,0.00011612461524719923,-10762.804371924985
kalman,sigma_err,0.0001219308460095592,-10727.652372127783
