center,parameter,idx,value,neg_log_like
kalman,kappa,0,0.5193800352963931,-39801.41787714454
kalman,kappa,0,0.5276241628407803,-39803.259919754644
kalman,kappa,0,0.5358682903851675,-39804.83337981232
kalman,kappa,0,0.5441124179295547,-39806.161637630335
kalman,kappa,0,0.5523565454739419,-39807.25404290479
kalman,kappa,0,0.560600673018329,-39808.11987762899
kalman,kappa,0,0.5688448005627162,-39808.76325684977
kalman,kappa,0,0.5770889281071034,-39809.20036554487
kalman,kappa,0,0.5853330556514906,-39809.43830938068
kalman,kappa,0,0.5935771831958778,-39809.49131274092
kalman,kappa,0,0.601821310740265,-39809.35869698864
kalman,kappa,0,0.6100654382846522,-39809.05333817767
kalman,kappa,0,0.6183095658290394,-39808.588633087755
kalman,kappa,0,0.6265536933734266,-39807.973075371214
kalman,kappa,0,0.6347978209178138,-39807.213374426356
kalman,kappa,1,0.6727587303334043,-39802.17577259883
kalman,kappa,1,0.6834374403386965,-39803.82565838267
kalman,kappa,1,0.6941161503439885,-39805.234886455175
kalman,kappa,1,0.7047948603492806,-39806.43388625165
kalman,kappa,1,0.7154735703545728,-39807.427540193785
kalman,kappa,1,0.726152280359865,-39808.20986615317
kalman,kappa,1,0.7368309903651571,-39808.79782504433
kalman,kappa,1,0.7475097003704492,-39809.20036554487
kalman,kappa,1,0.7581884103757414,-39809.4271906478
kalman,kappa,1,0.7688671203810336,-39809.49003341728
kalman,kappa,1,0.7795458303863256,-39809.395182190565
kalman,kappa,1,0.7902245403916177,-39809.1503837925
kalman,kappa,1,0.8009032503969099,-39808.76470538546
kalman,kappa,1,0.8115819604022021,-39808.24474377289
kalman,kappa,1,0.8222606704074942,-39807.59951604373
kalman,kappa,2,0.1835655919602597,-39794.948123116206
kalman,kappa,2,0.18647933151518448,-39798.55921967998
kalman,kappa,2,0.18939307107010922,-39801.626764658584
kalman,kappa,2,0.19230681062503396,-39804.16729570314
kalman,kappa,2,0.19522055017995874,-39806.18556890574
kalman,kappa,2,0.1981342897348835,-39807.691433286636
kalman,kappa,2,0.20104802928980825,-39808.690770620815
kalman,kappa,2,0.203961768844733,-39809.20036554487
kalman,kappa,2,0.20687550839965776,-39809.22835830617
kalman,kappa,2,0.20978924795458254,-39808.788853349986
kalman,kappa,2,0.21270298750950728,-39807.88238590812
kalman,kappa,2,0.21561672706443202,-39806.52543369478
kalman,kappa,2,0.2185304666193568,-39804.73284966885
kalman,kappa,2,0.22144420617428157,-39802.51495044702
kalman,kappa,2,0.2243579457292063,-39799.884471436
kalman,theta,0,0.7723300430991006,-39748.90050874554
kalman,theta,0,0.7845892501324196,-39764.86752659828
kalman,theta,0,0.7968484571657387,-39778.218029942705
kalman,theta,0,0.8091076641990578,-39789.1282019157
kalman,theta,0,0.8213668712323768,-39797.63950310624
kalman,theta,0,0.8336260782656959,-39803.82599159495
kalman,theta,0,0.8458852852990149,-39807.67449494922
kalman,theta,0,0.858144492332334,-39809.200365544864
kalman,theta,0,0.870403699365653,-39808.46092923647
kalman,theta,0,0.882662906398972,-39805.48957543105
kalman,theta,0,0.8949221134322911,-39800.36182686057
kalman,theta,0,0.9071813204656102,-39793.101802359146
kalman,theta,0,0.9194405274989292,-39783.76017446993
kalman,theta,0,0.9316997345322483,-39772.48564034599
kalman,theta,0,0.9439589415655674,-39759.30448258501
kalman,theta,1,0.13787420019790383,-39748.35168125899
kalman,theta,1,0.14006267956612453,-39764.40688595279
kalman,theta,1,0.14225115893434523,-39777.913849077966
kalman,theta,1,0.14443963830256593,-39788.93462578535
kalman,theta,1,0.14662811767078662,-39797.559736091614
kalman,theta,1,0.14881659703900732,-39803.79281444376
kalman,theta,1,0.151005076407228,-39807.65883285912
kalman,theta,1,0.1531935557754487,-39809.20036554487
kalman,theta,1,0.15538203514366938,-39808.47776385536
kalman,theta,1,0.15757051451189008,-39805.52526709971
kalman,theta,1,0.15975899388011078,-39800.40808352884
kalman,theta,1,0.16194747324833147,-39793.183218146936
kalman,theta,1,0.16413595261655217,-39783.8646489141
kalman,theta,1,0.16632443198477287,-39772.509531572694
kalman,theta,1,0.16851291135299357,-39759.22597915979
kalman,theta,2,0.44068078958502804,-39751.373815629646
kalman,theta,2,0.44767572275304435,-39766.30185654597
kalman,theta,2,0.4546706559210607,-39779.02602924608
kalman,theta,2,0.461665589089077,-39789.51512291999
kalman,theta,2,0.4686605222570933,-39797.81319880532
kalman,theta,2,0.4756554554251097,-39803.871530945
kalman,theta,2,0.482650388593126,-39807.66980181137
kalman,theta,2,0.4896453217611423,-39809.20036554487
kalman,theta,2,0.49664025492915864,-39808.47486861793
kalman,theta,2,0.503635188097175,-39805.480164378845
kalman,theta,2,0.5106301212651913,-39800.236567233565
kalman,theta,2,0.5176250544332076,-39792.75800539709
kalman,theta,2,0.524619987601224,-39783.011728745776
kalman,theta,2,0.5316149207692402,-39771.02037673125
kalman,theta,2,0.5386098539372566,-39756.87943823503
kalman,gamma1,0,0.01659798446266286,-39748.90031243369
kalman,gamma1,0,0.016861444533498776,-39764.86739633743
kalman,gamma1,0,0.017124904604334697,-39778.217947088735
kalman,gamma1,0,0.017388364675170614,-39789.12815814963
kalman,gamma1,0,0.017651824746006534,-39797.63949002808
kalman,gamma1,0,0.01791528481684245,-39803.82598678727
kalman,gamma1,0,0.018178744887678372,-39807.67449377945
kalman,gamma1,0,0.01844220495851429,-39809.20036554487
kalman,gamma1,0,0.018705665029350206,-39808.4609288637
kalman,gamma1,0,0.018969125100186127,-39805.489574464984
kalman,gamma1,0,0.019232585171022044,-39800.36182589316
kalman,gamma1,0,0.019496045241857964,-39793.10180149894
kalman,gamma1,0,0.01975950531269388,-39783.76017647309
kalman,gamma1,0,0.020022965383529802,-39772.48564849309
kalman,gamma1,0,0.02028642545436572,-39759.30450099234
kalman,lambda_i,0,-0.7804369699541343,-39807.33475836715
kalman,lambda_i,0,-0.7375798270969914,-39807.90158677824
kalman,lambda_i,0,-0.6947226842398485,-39808.37279684627
kalman,lambda_i,0,-0.6518655413827057,-39808.73909433844
kalman,lambda_i,0,-0.6090083985255629,-39808.99299392774
kalman,lambda_i,0,-0.5661512556684201,-39809.2225050113
kalman,lambda_i,0,-0.5232941128112771,-39809.30534226311
kalman,lambda_i,0,-0.4804369699541343,-39809.20036554487
kalman,lambda_i,0,-0.43757982709699145,-39808.87990971563
kalman,lambda_i,0,-0.3947226842398486,-39808.30772914196
kalman,lambda_i,0,-0.35186554138270576,-39807.4334311849
kalman,lambda_i,0,-0.3090083985255629,-39806.175374457984
kalman,lambda_i,0,-0.26615125566842,-39804.48909420164
kalman,lambda_i,0,-0.2232941128112772,-39802.22504705365
kalman,lambda_i,0,-0.18043696995413433,-39799.390558631014
kalman,lambda_i,1,-0.13016679880402468,-39807.26661667911
kalman,lambda_i,1,-0.11379774174659435,-39807.39993892402
kalman,lambda_i,1,-0.09742868468916402,-39807.53229373225
kalman,lambda_i,1,-0.08105962763173367,-39807.663485302124
kalman,lambda_i,1,-0.06469057057430334,-39807.79328517353
kalman,lambda_i,1,-0.04832151351687301,-39807.92142706738
kalman,lambda_i,1,-0.03195245645944267,-39808.04760083379
kalman,lambda_i,1,-0.015583399402012338,-39808.17144533899
kalman,lambda_i,1,0.0007856576554179928,-39808.29254008145
kalman,lambda_i,1,0.017154714712848323,-39808.410395278814
kalman,lambda_i,1,0.033523771770278654,-39808.52444011513
kalman,lambda_i,1,0.049892828827708985,-39808.633903832604
kalman,lambda_i,1,0.06626188588513934,-39808.73797458208
kalman,lambda_i,1,0.08263094294256967,-39808.835881998835
kalman,lambda_i,1,0.099,-39808.9265609611
kalman,lambda_i,2,-0.6460332994961263,-39710.36561233205
kalman,lambda_i,2,-0.6031761566389835,-39730.48531586506
kalman,lambda_i,2,-0.5603190137818406,-39749.69127558505
kalman,lambda_i,2,-0.5174618709246978,-39767.416463772905
kalman,lambda_i,2,-0.4746047280675549,-39782.98324493538
kalman,lambda_i,2,-0.431747585210412,-39795.7441104666
kalman,lambda_i,2,-0.3888904423532692,-39804.92868157038
kalman,lambda_i,2,-0.3460332994961263,-39809.20036554487
kalman,lambda_i,2,-0.30317615663898345,-39806.965034239845
kalman,lambda_i,2,-0.2603190137818406,-39796.53868103348
kalman,lambda_i,2,-0.2174618709246977,-39776.14755234814
kalman,lambda_i,2,-0.1746047280675549,-39743.51735959448
kalman,lambda_i,2,-0.13174758521041208,-39693.42772991572
kalman,lambda_i,2,-0.08889044235326915,-39614.80942071192
kalman,lambda_i,2,-0.046033299496126334,-39473.630136819345
kalman,sigma,0,0.000410815896722172,-39809.20036217252
kalman,sigma,0,0.00041733678397173034,-39809.20036263267
kalman,sigma,0,0.0004238576712212886,-39809.200363099975
kalman,sigma,0,0.0004303785584708469,-39809.20036357455
kalman,sigma,0,0.00043689944572040517,-39809.2003640563
kalman,sigma,0,0.0004434203329699635,-39809.200364545344
kalman,sigma,0,0.0004499412202195218,-39809.200365041506
kalman,sigma,0,0.00045646210746908006,-39809.20036554487
kalman,sigma,0,0.00046298299471863837,-39809.20036605542
kalman,sigma,0,0.00046950388196819663,-39809.20036657315
kalman,sigma,0,0.00047602476921775494,-39809.20036709822
kalman,sigma,0,0.0004825456564673132,-39809.200367630394
kalman,sigma,0,0.0004890665437168715,-39809.20036816981
kalman,sigma,0,0.0004955874309664298,-39809.20036871633
kalman,sigma,0,0.0005021083182159881,-39809.200369270104
kalman,sigma,1,0.276900099669978,-39808.83120534739
kalman,sigma,1,0.28129533934727924,-39808.93857477247
kalman,sigma,1,0.28569057902458045,-39809.032570785355
kalman,sigma,1,0.29008581870188166,-39809.11076464871
kalman,sigma,1,0.2944810583791829,-39809.16728792836
