center,parameter,idx,value,neg_log_like
true,kappa,0,0.6367012042768638,-7736.555855639671
true,kappa,0,0.6527524951409864,-7747.263883014942
true,kappa,0,0.668803786005109,-7756.042831002733
true,kappa,0,0.6848550768692316,-7763.09604928483
true,kappa,0,0.7009063677333542,-7768.527507904859
true,kappa,0,0.7169576585974768,-7772.200155779738
true,kappa,0,0.7330089494615994,-7774.415976238996
true,kappa,0,0.749060240325722,-7774.971209708476
true,kappa,0,0.7651115311898447,-7773.987125242609
true,kappa,0,0.7811628220539673,-7771.510313848371
true,kappa,0,0.7972141129180899,-7767.708685061129
true,kappa,0,0.8132654037822126,-7762.711641883766
true,kappa,0,0.8293166946463352,-7756.432936365274
true,kappa,0,0.8453679855104578,-7749.027857311464
true,kappa,0,0.8614192763745804,-7740.510990954989
true,kappa,1,0.4727031935434371,-7703.27237482457
true,kappa,1,0.4846200807756246,-7721.895544478714
true,kappa,1,0.49653696800781205,-7738.009914695879
true,kappa,1,0.5084538552399995,-7751.5773816708
true,kappa,1,0.5203707424721871,-7762.119651620963
true,kappa,1,0.5322876297043746,-7769.388254424316
true,kappa,1,0.544204516936562,-7773.67985030945
true,kappa,1,0.5561214041687496,-7774.971209708495
true,kappa,1,0.568038291400937,-7772.89238603357
true,kappa,1,0.5799551786331245,-7767.902359250719
true,kappa,1,0.591872065865312,-7760.002676927548
true,kappa,1,0.6037889530974995,-7749.193375388898
true,kappa,1,0.615705840329687,-7735.5144547900645
true,kappa,1,0.6276227275618744,-7719.224079624503
true,kappa,1,0.639539614794062,-7701.18780627335
true,kappa,2,0.17506247198418226,
true,kappa,2,0.17947581161403559,
true,kappa,2,0.18388915124388894,
true,kappa,2,0.18830249087374226,
true,kappa,2,0.1927158305035956,
true,kappa,2,0.19712917013344894,
true,kappa,2,0.20154250976330226,
true,kappa,2,0.2059558493931556,-7774.971209708487
true,kappa,2,0.21036918902300894,-7772.956630011386
true,kappa,2,0.21478252865286226,-7762.823451608187
true,kappa,2,0.2191958682827156,-7744.4416285372445
true,kappa,2,0.22360920791256894,-7717.811281911871
true,kappa,2,0.22802254754242227,-7683.805377569266
true,kappa,2,0.2324358871722756,-7642.045455919852
