center,parameter,idx,value,neg_log_like
kalman,kappa,0,0.4485017801723112,-23943.57709495559
kalman,kappa,0,0.45562085604806213,-27663.291702353854
kalman,kappa,0,0.46273993192381313,-30877.68797404602
kalman,kappa,0,0.46985900779956413,-33546.84436381007
kalman,kappa,0,0.4769780836753151,-35646.84897854754
kalman,kappa,0,0.484097159551066,-37169.401557082805
kalman,kappa,0,0.491216235426817,-38125.86089087823
kalman,kappa,0,0.49833531130256803,-38470.1635972613
kalman,kappa,0,0.505454387178319,-38227.06330859542
kalman,kappa,0,0.5125734630540699,-37447.49150887952
kalman,kappa,0,0.5196925389298209,-36159.56086043486
kalman,kappa,0,0.5268116148055719,-34348.34134798183
kalman,kappa,0,0.5339306906813228,-31993.026667590824
kalman,kappa,0,0.5410497665570738,-29072.9808680727
kalman,kappa,0,0.5481688424328248,-25565.42633138857
kalman,kappa,1,0.5816546977268634,-38427.00387807122
kalman,kappa,1,0.5908873119764961,-38435.42694596958
kalman,kappa,1,0.6001199262261289,-38443.04633104969
kalman,kappa,1,0.6093525404757617,-38449.85597897912
kalman,kappa,1,0.6185851547253944,-38455.910740590254
kalman,kappa,1,0.6278177689750272,-38461.270594768604
kalman,kappa,1,0.6370503832246599,-38465.96870773094
kalman,kappa,1,0.6462829974742927,-38470.16359726129
kalman,kappa,1,0.6555156117239255,-38473.68713363349
kalman,kappa,1,0.6647482259735582,-38476.577675962624
kalman,kappa,1,0.6739808402231909,-38478.81586347926
kalman,kappa,1,0.6832134544728237,-38480.4125505989
kalman,kappa,1,0.6924460687224565,-38481.47296407635
kalman,kappa,1,0.7016786829720892,-38482.04734193892
kalman,kappa,1,0.710911297221722,-38482.50931001472
kalman,theta,0,0.14991406730160056,-24436.056401333826
kalman,theta,0,0.15229365567146724,-28175.32449348124
kalman,theta,0,0.15467324404133392,-31340.34561549329
kalman,theta,0,0.1570528324112006,-33904.20453939118
kalman,theta,0,0.15943242078106726,-35883.91091122634
kalman,theta,0,0.16181200915093394,-37289.451441854646
kalman,theta,0,0.16419159752080062,-38160.850574018616
kalman,theta,0,0.1665711858906673,-38470.16359726122
kalman,theta,0,0.16895077426053398,-38259.634482661095
kalman,theta,0,0.17133036263040066,-37581.61164800803
kalman,theta,0,0.17370995100026734,-36476.614209313564
kalman,theta,0,0.176089539370134,-34950.94149861014
kalman,theta,0,0.17846912774000068,-33001.9985981654
kalman,theta,0,0.18084871610986736,-30629.277768841417
kalman,theta,0,0.18322830447973404,-27831.229998394778
kalman,theta,1,0.31236394162335956,-24507.687329762983
kalman,theta,1,0.317322099426905,-28223.808483009216
kalman,theta,1,0.32228025723045034,-31370.050252009252
kalman,theta,1,0.32723841503399576,-33921.295916487186
kalman,theta,1,0.3321965728375411,-35892.01880446743
kalman,theta,1,0.33715473064108653,-37292.51461865947
kalman,theta,1,0.34211288844463195,-38161.4444776588
kalman,theta,1,0.3470710462481773,-38470.16359726122
kalman,theta,1,0.3520292040517227,-38259.7359840162
kalman,theta,1,0.3569873618552681,-37581.85603860777
kalman,theta,1,0.3619455196588135,-36476.63513220137
kalman,theta,1,0.36690367746235886,-34950.26945883872
kalman,theta,1,0.3718618352659043,-32999.79442073835
kalman,theta,1,0.3768199930694497,-30624.378590196797
kalman,theta,1,0.38177815087299505,-27822.070039879432
kalman,lambda_i,0,-0.8190624991331836,-38470.65207436322
kalman,lambda_i,0,-0.7762053562760408,-38470.590230503214
kalman,lambda_i,0,-0.7333482134188979,-38470.52590790832
kalman,lambda_i,0,-0.6904910705617551,-38470.459048609446
kalman,lambda_i,0,-0.6476339277046121,-38470.389586469
kalman,lambda_i,0,-0.6047767848474693,-38470.317445558525
kalman,lambda_i,0,-0.5619196419903265,-38470.2422772377
kalman,lambda_i,0,-0.5190624991331836,-38470.16359726122
kalman,lambda_i,0,-0.4762053562760407,-38470.08193051549
kalman,lambda_i,0,-0.43334821341889784,-38469.99713473109
kalman,lambda_i,0,-0.39049107056175497,-38469.90903950653
kalman,lambda_i,0,-0.3476339277046121,-38469.817438322476
kalman,lambda_i,0,-0.3047767848474693,-38469.72207749614
kalman,lambda_i,0,-0.26191964199032636,-38469.62264053739
kalman,lambda_i,0,-0.2190624991331836,-38469.51872539376
kalman,lambda_i,1,-0.5976594368111676,-38424.067725071705
kalman,lambda_i,1,-0.5548022939540248,-38435.932783979486
kalman,lambda_i,1,-0.5119451510968819,-38446.09929491687
kalman,lambda_i,1,-0.46908800823973906,-38454.454958722614
kalman,lambda_i,1,-0.42623086538259625,-38461.08599445351
kalman,lambda_i,1,-0.3833737225254534,-38465.891745597924
kalman,lambda_i,1,-0.3405165796683105,-38468.922323601124
kalman,lambda_i,1,-0.2976594368111677,-38470.16359726122
kalman,lambda_i,1,-0.2548022939540248,-38469.60439722485
