center,parameter,idx,value,neg_log_like
kalman,kappa,0,0.4091358001970389,20308466.74571304
kalman,kappa,0,0.41563001924778553,15140369.792113103
kalman,kappa,0,0.4221242382985322,10659447.863662334
kalman,kappa,0,0.42861845734927884,6906537.0431201
kalman,kappa,0,0.4351126764000255,3921532.190406499
kalman,kappa,0,0.44160689545077214,1743372.4789577469
kalman,kappa,0,0.4481011145015188,410030.4818206269
kalman,kappa,0,0.45459533355226545,-41496.705022356815
kalman,kappa,0,0.4610895526030121,424806.1560503214
kalman,kappa,0,0.46758377165375875,1843968.274880623
kalman,kappa,0,0.4740779907045054,4250030.655762756
kalman,kappa,0,0.48057220975525206,7676045.700432841
kalman,kappa,0,0.4870664288059987,12154078.554315643
kalman,kappa,0,0.49356064785674536,17715209.876048815
kalman,kappa,0,0.500054866907492,24389540.199271582
kalman,theta,0,0.4085940174640306,20888812.114749115
kalman,theta,0,0.4150796367888565,15334766.699617581
kalman,theta,0,0.4215652561136824,10635339.027461242
kalman,theta,0,0.4280508754385083,6790572.54733675
kalman,theta,0,0.43453649476333417,3800496.888731058
kalman,theta,0,0.44102211408816006,1665127.862405915
kalman,theta,0,0.4475077334129859,384467.36172417586
kalman,theta,0,0.45399335273781183,-41496.70502235688
kalman,theta,0,0.46047897206263766,387209.46932807856
kalman,theta,0,0.46696459138746355,1670545.5336525352
kalman,theta,0,0.47345021071228943,
kalman,theta,0,0.4799358300371153,
kalman,theta,0,0.4864214493619412,
kalman,theta,0,0.4929070686867671,
kalman,theta,0,0.499392688011593,
kalman,lambda_i,0,-0.5747112482101691,-41511.19118302423
kalman,lambda_i,0,-0.5318541053530262,-41511.60068711361
kalman,lambda_i,0,-0.4889969624958833,-41511.62765457343
kalman,lambda_i,0,-0.4461398196387405,-41511.37558537466
kalman,lambda_i,0,-0.40328267678159757,-41510.833527332914
kalman,lambda_i,0,-0.36042553392445476,-41509.61091201141
kalman,lambda_i,0,-0.3175683910673119,-41506.2766928907
kalman,lambda_i,0,-0.274711248210169,-41496.705022356764
kalman,lambda_i,0,-0.23185410535302614,-41469.795165226606
kalman,lambda_i,0,-0.18899696249588327,-41395.70857757682
kalman,lambda_i,0,-0.1461398196387404,-41190.358846999196
kalman,lambda_i,0,-0.10328267678159753,-40591.665905579524
kalman,lambda_i,0,-0.06042553392445471,-38615.11369493849
kalman,lambda_i,0,-0.017568391067311784,-29791.235488852315
kalman,lambda_i,0,0.025288751789830977,
kalman,sigma,0,0.14379060452406914,-41490.65328188831
kalman,sigma,0,0.14607299507207022,-41493.08332874124
kalman,sigma,0,0.14835538562007133,-41494.92608750003
kalman,sigma,0,0.15063777616807245,-41496.22400337077
kalman,sigma,0,0.15292016671607353,-41497.01617161306
kalman,sigma,0,0.15520255726407461,-41497.33863948428
kalman,sigma,0,0.15748494781207573,-41497.22467733178
kalman,sigma,0,0.15976733836007684,-41496.70502235852
kalman,sigma,0,0.16204972890807792,-41495.80809814245
kalman,sigma,0,0.164332119456079,-41494.560212626275
kalman,sigma,0,0.16661451000408012,-41492.985736903276
kalman,sigma,0,0.16889690055208123,-41491.10726692026
kalman,sigma,0,0.17117929110008231,-41488.9457698967
kalman,sigma,0,0.1734616816480834,-41486.52071708663
kalman,sigma,0,0.1757440721960845,-41483.85020431055
kalman,sigma_err,0,2.6332225421963652e-05,-41455.789072724496
kalman,sigma_err,0,2.6750197254058312e-05,-41468.253311931134
kalman,sigma_err,0,2.7168169086152975e-05,-41478.23643929082
kalman,sigma_err,0,2.7586140918247635e-05,-41485.91662564455
kalman,sigma_err,0,2.8004112750342298e-05,-41491.4579812382
kalman,sigma_err,0,2.8422084582436958e-05,-41495.0118252926
kalman,sigma_err,0,2.8840056414531617e-05,-41496.71782549445
kalman,sigma_err,0,2.925802824662628e-05,-41496.705022356764
kalman,sigma_err,0,2.967600007872094e-05,-41495.092751441174
kalman,sigma_err,0,3.0093971910815603e-05,-41491.99147485762
kalman,sigma_err,0,3.0511943742910263e-05,-41487.50353202492
kalman,sigma_err,0,3.0929915575004926e-05,-41481.72381847915
kalman,sigma_err,0,3.134788740709958e-05,-41474.740400408264
kalman,sigma_err,0,3.1765859239194245e-05,-41466.63507178024
kalman,sigma_err,0,3.218383107128891e-05,-41457.48386001658
